"LS25","","03Q"
"LS26","","15F"
"LS26","","03R"
"LS27","","15F"
"LS27","","36J"
"LS28","","15F"
"LS29","","36J"
"LS29","","42D"
"LS29","","15F"
"LS3","","15F"
"LS4","","15F"
"LS5","","15F"
"LS6","","15F"
"LS7","","15F"
"LS8","","15F"
"LS88","","15F"
"LS9","","15F"
"LS98","","15F"
"LS99","","15F"
"NE1","","13T"
"NE10","","13T"
"NE10","","99C"
"NE10","","00N"
"NE11","","13T"
"NE12","","99C"
"NE12","","13T"
"NE13","","99C"
"NE13","","00L"
"NE13","","13T"
"NE15","","00L"
"NE15","","13T"
"NE16","","13T"
"NE16","","84H"
"NE17","","13T"
"NE17","","00L"
"NE17","","84H"
"NE18","","00L"
"NE19","","00L"
"NE2","","13T"
"NE20","","00L"
"NE20","","13T"
"NE21","","13T"
"NE22","","00L"
"NE23","","00L"
"NE23","","99C"
"NE24","","00L"
"NE25","","00L"
"NE25","","99C"
"NE26","","99C"
"NE26","","00L"
"NE27","","99C"
"NE27","","00L"
"NE28","","99C"
"NE28","","13T"
"NE29","","99C"
"NE3","","13T"
"NE3","","99C"
"NE30","","99C"
"NE30","","13T"
"NE31","","00N"
"NE32","","00N"
"NE33","","00N"
"NE33","","99C"
"NE33","","13T"
"NE34","","00N"
"NE35","","00N"
"NE36","","00N"
"NE36","","00P"
"NE37","","00P"
"NE37","","00N"
"NE38","","13T"
"NE38","","00P"
"NE38","","84H"
"NE39","","13T"
"NE39","","84H"
"NE4","","13T"
"NE40","","13T"
"NE41","","00L"
"NE41","","13T"
"NE42","","00L"
"NE42","","13T"
"NE43","","00L"
"NE43","","13T"
"NE44","","00L"
"NE45","","00L"
"NE46","","00L"
"NE47","","00L"
"NE48","","00L"
"NE49","","00L"
"NE5","","13T"
"NE6","","13T"
"NE6","","99C"
"NE61","","00L"
"NE62","","00L"
"NE63","","00L"
"NE64","","00L"
"NE65","","00L"
"NE66","","00L"
"NE67","","00L"
"NE68","","00L"
"NE69","","00L"
"NE7","","13T"
"NE7","","99C"
"NE70","","00L"
"NE71","","00L"
"NE8","","13T"
"NE8","","00N"
"NE82","","13T"
"NE83","","13T"
"NE85","","00P"
"NE85","","13T"
"NE88","","13T"
"NE89","","00P"
"NE9","","13T"
"NE9","","00P"
"NE92","","13T"
"NE98","","13T"
"NE99","","13T"
"NG20","","02Q"
"NG22","","02Q"
"NG23","","02Q"
"OL14","","02T"
"OL15","","02T"
"PR2","","03Q"
"S1","","03N"
"S1","","03L"
"S10","","03N"
"S11","","03N"
"S12","","03N"
"S13","","03N"
"S13","","03L"
"S14","","03N"
"S17","","03N"
"S19","","03N"
"S2","","03N"
"S2","","03L"
"S20","","03N"
"S20","","03L"
"S21","","03N"
"S25","","03L"
"S25","","02X"
"S26","","03L"
"S26","","02X"
"S26","","03N"
"S3","","03N"
"S30","","03N"
"S30","","03L"
"S30","","02P"
"S31","","03L"
"S31","","02X"
"S32","","03N"
"S35","","03N"
"S35","","02P"
"S35","","03L"
"S36","","03N"
"S36","","02P"
"S4","","03N"
"S5","","03N"
"S6","","03N"
"S60","","03L"
"S60","","03N"
"S61","","03L"
